Desi/KG,Aras,DHL eCommerce,Kolay Gelsin,PTT,Sürat,TEX,Yurtiçi,Borusan,CEVA,Horoz
0,83.93,92.99,91.99,77.54,89.71,77.54,112.77,433.53,594.46,527.63
1,83.93,92.99,91.99,77.54,89.71,77.54,112.77,433.53,594.46,527.63
2,83.93,92.99,91.99,77.54,89.71,77.54,112.77,433.53,594.46,527.63
3,95.12,103.99,101.99,96.00,99.96,93.63,120.56,433.53,594.46,527.63
4,103.68,116.99,112.99,96.00,109.30,101.46,123.15,433.53,594.46,527.63
5,111.17,129.99,121.99,100.55,114.94,107.98,142.91,433.53,594.46,527.63
6,121.12,141.99,131.99,106.83,126.28,118.30,149.82,433.53,594.46,527.63
7,128.46,149.99,140.99,113.15,134.85,125.66,169.44,433.53,594.46,527.63
8,137.05,159.99,150.99,125.73,143.29,134.21,175.96,433.53,594.46,527.63
9,144.91,169.99,159.99,138.34,151.87,142.42,186.86,433.53,594.46,527.63
10,153.48,176.99,170.99,157.26,160.43,153.47,195.12,433.53,594.46,527.63
11,161.77,184.99,180.99,165.01,171.83,162.13,207.75,433.53,594.46,527.63
12,167.73,194.99,191.99,173.31,181.55,170.33,220.80,433.53,594.46,527.63
13,175.34,204.99,201.99,181.63,188.84,178.04,227.79,433.53,594.46,527.63
14,182.10,216.99,212.99,189.94,193.44,185.17,245.62,433.53,594.46,527.63
15,188.82,226.99,223.99,198.22,200.48,192.81,258.72,433.53,594.46,527.63
16,199.40,244.99,234.99,206.52,207.26,200.82,266.13,433.53,594.46,527.63
17,209.92,259.99,245.99,214.83,218.26,209.70,280.92,433.53,594.46,527.63
18,220.51,276.99,256.99,223.13,229.26,218.60,294.85,433.53,594.46,527.63
19,231.07,291.99,267.99,231.45,240.14,227.46,300.97,433.53,594.46,527.63
20,235.60,309.99,278.99,239.76,251.15,236.21,307.46,433.53,594.46,527.63
21,247.47,334.99,289.99,248.06,262.40,244.98,324.89,433.53,594.46,527.63
22,258.31,354.99,300.99,256.36,272.64,254.82,334.91,433.53,594.46,527.63
23,269.13,379.99,311.99,264.66,282.62,264.97,347.55,433.53,594.46,527.63
24,278.75,404.99,322.99,272.95,292.72,274.36,354.51,433.53,594.46,527.63
25,288.32,429.99,333.99,281.27,302.70,283.69,378.43,433.53,594.46,527.63
26,297.56,454.99,344.99,289.58,312.42,292.73,413.73,433.53,594.46,527.63
27,306.79,479.99,355.99,297.88,322.15,301.77,433.31,433.53,594.46,527.63
28,316.06,504.99,366.99,306.18,331.87,310.84,452.92,433.53,594.46,527.63
29,325.31,529.99,377.99,314.48,341.59,319.89,468.61,433.53,594.46,527.63
30,334.54,554.99,388.99,322.78,351.32,328.88,473.40,433.53,594.46,527.63
31,345.25,587.98,398.99,666.93,420.28,394.39,486.99,433.90,600.94,527.63
32,355.95,620.97,408.99,683.01,432.43,404.79,500.58,447.89,607.56,527.63
33,366.66,653.96,418.99,699.09,444.71,415.21,514.17,461.90,614.21,527.63
34,377.36,686.95,428.99,715.18,456.87,425.61,527.76,475.89,621.02,527.63
35,388.07,719.94,438.99,731.25,469.15,436.04,541.35,489.89,627.79,527.63
36,398.78,752.93,448.99,747.34,481.30,446.43,554.95,503.88,634.78,527.63
37,409.48,785.92,458.99,763.41,493.58,456.86,568.54,517.88,641.68,527.63
38,420.19,818.91,468.99,779.50,505.86,467.29,582.13,531.88,648.71,527.63
39,430.89,851.90,478.99,795.57,518.02,477.69,595.72,545.87,655.92,527.63
40,441.60,884.89,488.99,811.66,536.06,489.37,609.31,559.87,663.18,527.63
41,452.31,917.88,498.99,827.73,548.34,499.80,622.90,573.87,669.71,527.63
42,463.01,950.87,508.99,843.82,560.76,510.26,636.49,587.87,676.52,527.63
43,473.72,983.86,518.99,859.90,573.04,520.68,650.08,601.86,683.33,527.63
44,484.42,1016.85,528.99,875.98,585.44,531.13,663.67,615.86,690.05,527.63
45,495.13,1049.84,538.99,892.06,597.86,541.59,677.27,629.85,697.04,527.63
46,505.83,1082.83,548.99,908.14,610.14,552.02,690.86,643.85,703.92,533.03
47,516.54,1115.82,558.99,924.22,622.54,562.47,704.45,657.85,711.07,544.62
48,527.25,1148.81,568.99,940.31,634.83,572.89,718.04,671.84,718.11,556.21
49,537.95,1181.80,578.99,956.38,647.24,583.35,731.63,685.84,725.32,567.79
50,548.66,1214.79,588.99,972.47,659.65,593.80,745.22,699.84,732.58,579.38
51,559.36,1247.78,598.99,988.54,671.93,604.23,758.81,713.84,774.90,590.97
52,570.07,1280.77,608.99,1004.63,684.34,614.68,772.40,727.83,782.63,602.56
53,580.77,1313.76,618.99,1020.70,696.62,625.11,785.99,741.83,790.42,614.15
54,591.48,1346.75,628.99,1036.79,709.03,635.56,799.58,755.83,798.34,625.73
55,602.19,1379.74,638.99,1052.86,721.44,646.01,813.18,769.82,805.90,637.32
56,612.89,1412.73,648.99,1068.95,733.73,656.45,826.77,783.82,809.85,648.91
57,623.60,1445.72,658.99,1085.03,746.13,666.90,840.36,797.81,812.39,660.50
58,634.30,1478.71,668.99,1101.11,758.41,677.32,853.95,811.82,814.80,672.08
59,645.01,1511.70,678.99,1117.19,770.83,687.77,867.54,825.81,816.41,683.67
60,655.72,1544.69,688.99,1133.28,783.23,698.23,881.13,839.81,816.78,695.26
61,666.42,1577.68,698.99,1149.35,795.52,708.66,894.72,853.80,817.59,706.85
62,677.13,1610.67,708.99,1165.44,807.93,719.11,908.31,867.80,818.71,718.43
63,687.83,1643.66,718.99,1181.51,820.21,729.54,921.90,881.80,819.82,730.02
64,698.54,1676.65,728.99,1197.60,832.62,739.99,935.50,895.79,822.16,741.61
65,709.24,1709.64,738.99,1213.67,845.03,750.44,949.09,909.79,822.58,753.20
66,719.95,1742.63,748.99,1229.76,857.31,760.88,962.68,923.78,835.21,764.78
67,730.66,1775.62,758.99,1245.83,869.72,771.33,976.27,937.79,847.88,776.37
68,741.36,1808.61,768.99,1261.92,882.00,781.75,989.86,951.78,860.52,787.96
69,752.07,1841.60,778.99,1277.99,894.42,792.20,1003.45,965.78,873.19,799.55
70,762.77,1874.59,788.99,1294.08,906.82,802.66,1017.04,979.77,885.82,811.14
71,773.48,1907.58,798.99,1310.16,919.10,813.09,1030.63,993.78,898.50,822.72
72,784.19,1940.57,808.99,1326.24,931.52,823.54,1044.22,1007.77,911.12,834.31
73,794.89,1973.56,818.99,1342.32,943.80,833.97,1057.81,1021.76,923.80,845.90
74,805.60,2006.55,828.99,1358.41,956.20,844.42,1071.41,1035.76,936.52,857.49
75,816.30,2039.54,838.99,1374.48,968.62,854.87,1085.00,1049.75,949.11,869.07
76,827.01,2072.53,848.99,1390.57,980.90,865.30,1098.59,1063.76,961.82,880.66
77,837.71,2105.52,858.99,1406.64,993.31,875.76,1112.18,1077.75,974.41,892.25
78,848.42,2138.51,868.99,1422.73,1005.59,886.18,1125.77,1091.75,987.13,903.84
79,859.13,2171.50,878.99,1438.80,1018.00,896.63,1139.36,1105.74,999.71,915.42
80,869.83,2204.49,888.99,1454.89,1030.41,907.09,1152.95,1119.75,1012.43,927.01
81,880.54,2237.48,898.99,1470.96,1042.69,917.52,1166.54,1133.74,1025.02,938.60
82,891.24,2270.47,908.99,1487.05,1055.11,927.97,1180.13,1147.73,1037.74,950.19
83,901.95,2303.46,918.99,1503.13,1067.39,938.40,1193.73,1161.73,1050.32,961.77
84,912.65,2336.45,928.99,1519.21,1079.79,948.85,1207.32,1175.73,1063.04,973.36
85,923.36,2369.44,938.99,1535.29,1092.21,959.30,1220.91,1189.73,1075.63,984.95
86,934.07,2402.43,948.99,1551.37,1104.49,969.73,1234.50,1203.72,1088.34,996.54
87,944.77,2435.42,958.99,1567.45,1116.89,980.18,1248.09,1204.62,1100.93,1008.13
88,955.48,2468.41,968.99,1583.54,1129.18,990.61,1261.68,1205.64,1113.65,1019.71
89,966.18,2501.40,978.99,1599.61,1141.59,1001.06,1275.27,1206.66,1126.33,1031.30
90,976.89,2534.39,988.99,1615.70,1154.00,1011.51,1288.86,1207.68,1138.95,1042.89
91,987.60,2567.38,998.99,1631.77,1166.28,1021.95,1302.45,1208.70,1151.63,1054.48
92,998.30,2600.37,1008.99,1647.86,1178.69,1032.40,1316.04,1208.70,1164.26,1066.06
93,1009.01,2633.36,1018.99,1663.93,1190.98,1042.82,1329.64,1208.70,1176.93,1077.65
94,1019.71,2666.35,1028.99,1680.02,1203.38,1053.28,1343.23,1208.70,1189.52,1089.24
95,1030.42,2699.34,1038.99,1696.09,1215.80,1063.73,1356.82,1208.70,1202.24,1100.83
96,1041.12,2732.33,1048.99,1712.18,1228.08,1074.16,1370.41,1209.72,1214.82,1112.41
97,1051.83,2765.32,1058.99,1728.26,1240.48,1084.61,1384.00,1210.74,1227.54,1124.00
98,1062.54,2798.31,1068.99,1744.34,1252.76,1095.04,1397.59,1211.76,1240.13,1135.59
