Desi/KG,Aras,DHL eCommerce,Kolay Gelsin,PTT,Sürat,TEX,Yurtiçi,Borusan,CEVA,Horoz
0,66.49,71.99,69.91,62.03,67.96,61.04,86.74,400.00,510.91,482.40
1,66.49,71.99,69.91,62.03,67.96,61.04,86.74,400.00,510.91,482.40
2,67.93,71.99,71.90,62.03,67.96,62.85,86.74,400.00,510.91,482.40
3,76.10,79.99,79.40,76.80,75.86,71.20,92.73,400.00,510.91,482.40
4,82.94,89.99,84.90,76.80,82.77,76.46,94.72,400.00,510.91,482.40
5,91.12,99.99,92.40,80.44,87.39,81.08,109.92,400.00,510.91,482.40
6,99.28,108.99,99.90,85.47,101.01,91.69,113.50,400.00,510.91,482.40
7,105.30,114.99,107.50,90.53,107.84,98.34,128.36,400.00,510.91,482.40
8,112.33,122.99,115.19,100.59,114.66,105.22,133.30,400.00,510.91,482.40
9,118.78,129.99,122.90,110.68,121.49,112.02,141.56,400.00,510.91,482.40
10,127.91,135.99,129.00,125.81,128.31,118.36,147.81,400.00,510.91,482.40
11,134.82,141.99,134.90,132.01,137.46,125.07,157.38,400.00,510.91,482.40
12,139.78,149.99,140.00,138.64,145.24,129.95,167.27,400.00,510.91,482.40
13,146.11,157.99,146.00,145.31,151.07,135.38,172.56,400.00,510.91,482.40
14,151.75,166.99,152.00,151.95,154.71,140.79,186.07,400.00,510.91,482.40
15,157.34,174.99,157.00,158.58,160.41,146.57,196.00,400.00,510.91,482.40
16,166.17,187.99,171.90,165.22,165.81,153.82,201.61,400.00,510.91,482.40
17,174.94,199.99,181.90,171.86,174.57,161.94,212.82,400.00,510.91,482.40
18,183.76,212.99,190.90,178.50,183.37,170.10,223.37,400.00,510.91,482.40
19,192.55,224.99,199.90,185.17,192.15,178.22,228.01,400.00,510.91,482.40
20,201.36,237.99,208.90,191.81,200.91,186.23,232.92,400.00,510.91,482.40
21,211.52,254.99,217.90,198.44,209.97,194.23,246.12,400.00,510.91,482.40
22,220.78,271.99,226.90,205.08,218.06,201.63,253.72,400.00,510.91,482.40
23,230.02,288.99,235.90,211.73,226.06,208.97,263.30,400.00,510.91,482.40
24,238.25,305.99,244.90,218.36,234.14,216.36,268.57,400.00,510.91,482.40
25,246.43,322.99,253.90,225.02,242.19,223.74,286.68,400.00,510.91,482.40
26,254.33,339.99,262.90,231.66,249.94,230.86,313.43,400.00,510.91,482.40
27,262.22,356.99,271.90,238.30,257.71,237.99,328.26,400.00,510.91,482.40
28,270.13,373.99,280.90,244.94,265.47,245.12,343.12,400.00,510.91,482.40
29,278.04,390.99,289.90,251.58,273.24,252.27,355.00,400.00,510.91,482.40
30,285.94,407.99,298.90,258.23,281.01,259.36,358.63,400.00,510.91,482.40
31,294.50,432.98,325.18,533.54,336.17,303.69,368.93,407.61,516.49,482.40
32,303.07,457.97,341.45,546.41,345.94,316.76,379.23,420.75,522.18,482.40
33,311.64,482.96,357.71,559.28,355.75,329.01,389.52,433.91,527.90,482.40
34,320.20,507.95,373.99,572.14,365.51,339.38,399.82,447.05,533.75,482.40
35,328.77,532.94,390.26,585.00,375.31,349.77,410.12,460.20,539.56,482.40
36,337.34,557.93,406.53,597.87,385.08,360.14,420.41,473.36,545.57,482.40
37,345.90,582.92,422.81,610.73,394.85,370.51,430.71,486.50,551.51,482.40
38,354.47,607.91,439.08,623.60,404.65,380.90,441.01,499.65,557.54,482.40
39,363.04,632.90,455.36,636.46,414.42,390.43,451.30,512.79,563.74,482.40
40,371.60,657.89,471.63,649.33,428.81,402.44,461.60,525.95,569.98,482.40
41,380.17,682.88,487.90,662.19,438.68,411.64,471.89,539.09,575.59,482.40
42,388.74,707.87,507.90,675.06,448.56,420.84,482.19,552.24,581.44,482.40
43,397.30,732.86,527.90,687.92,458.47,430.06,492.49,565.39,587.30,484.23
44,405.87,757.85,547.90,700.78,468.34,439.26,502.78,578.54,593.07,495.49
45,414.44,782.84,567.90,713.65,478.24,448.48,513.08,591.68,599.09,506.75
46,423.00,807.83,587.90,726.52,488.12,457.68,523.38,604.84,605.00,518.01
47,431.57,832.82,607.90,739.38,497.99,466.88,533.67,617.98,611.14,529.27
48,440.14,857.81,627.90,752.24,507.90,476.10,543.97,631.13,617.19,540.53
49,448.70,882.80,647.90,765.11,517.78,485.30,554.27,644.29,623.39,551.80
50,457.27,907.79,667.90,777.98,527.68,494.51,564.56,657.43,629.63,563.05
51,465.84,932.78,687.89,790.83,537.55,503.72,574.86,670.58,666.00,574.32
52,474.40,957.77,707.89,803.70,547.43,512.92,585.16,683.73,672.65,585.57
53,482.97,982.76,727.89,816.57,557.34,522.14,595.45,696.88,679.34,596.84
54,491.54,1007.75,747.89,829.43,567.21,531.34,605.75,710.02,686.14,608.10
55,500.10,1032.74,767.89,842.29,577.11,540.55,616.04,723.18,692.65,619.36
56,508.67,1057.73,787.89,855.16,586.99,549.75,626.34,736.32,696.04,630.62
57,517.24,1082.72,807.89,868.03,596.86,558.95,636.64,749.47,698.21,641.88
58,525.80,1107.71,827.89,880.89,606.77,568.18,646.93,762.62,700.29,653.14
59,534.37,1132.70,847.89,893.75,616.65,577.38,657.23,775.77,701.67,664.41
